element	sp_num	ritz_wl_vac(A)	Aki(s^-1)	fik	Acc	Type	
Na	10	"38.1585"	"1.30e+09"	"2.84e-04"	A		
Na	10	"38.1936"	"2.16e+09"	"2.83e-04"	A		
Na	10	"38.1953"	"1.89e+09"	"1.38e-04"	A		
Na	10	"38.2023"	"1.20e+10"	"7.89e-03"	A		
Na	10	"38.5768"	"2.61e+09"	"1.94e-04"	A		
Na	10	"38.8347"	"2.97e+10"	"6.72e-03"	A		
Na	10	"38.8347"	"2.97e+10"	"2.24e-03"	A		
Na	10	"38.8347"	"2.97e+10"	"1.12e-02"	A		
Na	10	"38.9453"	"6.52e+08"	"4.45e-04"	A		
Na	10	"38.9532"	"1.96e+09"	"4.45e-04"	A		
Na	10	"38.9829"	"1.79e+10"	"1.22e-02"	A		
Na	10	"38.9898"	"3.25e+09"	"4.45e-04"	A		
Na	10	"39.1234"	"3.73e+09"	"2.85e-04"	A		
Na	10	"39.9498"	"5.60e+09"	"4.47e-04"	A		
Na	11	"40.065710"	"2.53e+11"	"1.22e-01"			
Na	11	"40.069366"	"1.42e+11"	"6.84e-02"			
Na	11	"40.076026"	"1.26e+10"	"3.03e-03"			
Na	11	"40.080168"	"1.42e+11"	"3.42e-02"			
Na	11	"40.1486686"	"3.02e+11"	"1.09e-01"			
Na	11	"40.1522731"	"5.03e+10"	"1.22e-02"			
Na	11	"40.1626333"	"2.56e+10"	"3.10e-03"			
Na	10	"40.1668"	"3.07e+10"	"2.23e-02"	A		
Na	10	"40.1753"	"4.14e+10"	"1.67e-02"	A		
Na	10	"40.1753"	"2.30e+10"	"5.56e-03"	A		
Na	10	"40.2141"	"1.53e+09"	"2.22e-04"	A		
Na	10	"40.2141"	"5.51e+10"	"1.87e-02"	A		
Na	10	"40.2141"	"1.37e+10"	"3.33e-03"	A		
Na	10	"40.2401"	"1.05e+09"	"7.63e-04"	A		
Na	10	"40.2486"	"3.14e+09"	"7.63e-04"	A		
Na	10	"40.2498"	"2.84e+10"	"2.07e-02"	A		
Na	10	"40.2876"	"5.22e+09"	"7.62e-04"	A		
Na	10	"40.9893"	"5.12e+10"	"2.15e-02"	A		
Na	10	"40.9918"	"5.12e+10"	"1.29e-02"	A		
Na	10	"40.9925"	"5.13e+10"	"4.31e-03"	A		
K	10	"41.150"	"2.08e+11"	"1.58e-01"			
Na	10	"41.2643"	"4.96e+10"	"2.11e-02"	A		
Na	10	"41.2953"	"8.97e+09"	"7.64e-04"	A		
K	10	"41.548"	"1.08e+11"	"8.38e-02"			
Na	10	"42.4560"	"5.60e+10"	"4.54e-02"	A		
Na	10	"42.4654"	"7.55e+10"	"3.40e-02"	A		
Na	10	"42.4654"	"4.18e+10"	"1.13e-02"	A		
Na	10	"42.5089"	"2.79e+09"	"4.53e-04"	A		
Na	10	"42.5089"	"1.00e+11"	"3.81e-02"	A		
Na	10	"42.5089"	"2.51e+10"	"6.80e-03"	A		
Na	10	"42.5419"	"4.90e+10"	"3.99e-02"	A		
Na	10	"42.5985"	"1.85e+09"	"1.51e-03"	A		
Na	10	"42.6080"	"5.55e+09"	"1.51e-03"	A		
Na	10	"42.6517"	"9.23e+09"	"1.51e-03"	A		
Na	10	"43.6824"	"9.10e+10"	"4.34e-02"	A		
Na	10	"43.7420"	"1.57e+10"	"1.50e-03"	A		
Na	9	"44.7249"	"1.22e+10"	"3.67e-03"	C+		
Na	9	"44.7249"	"1.23e+10"	"7.35e-03"	C+		
Na	10	"45.6647"	"9.94e+10"	"5.18e-02"	A		
Na	10	"45.6710"	"9.95e+10"	"3.11e-02"	A		
Na	10	"45.6724"	"9.98e+10"	"1.04e-02"	A		
Na	9	"46.0900"	"1.95e+10"	"6.20e-03"	B+		
Na	9	"46.0900"	"1.95e+10"	"1.24e-02"	B+		
Na	10	"47.4326"	"1.21e+11"	"1.22e-01"	A		
Na	10	"47.4444"	"1.63e+11"	"9.18e-02"	A		
Na	10	"47.4444"	"9.07e+10"	"3.06e-02"	A		
